insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
4/22/2019 3:26,BARCELONA,MADRID,5/19/2019 21:25,5/19/2019 23:55,AVE,85.1,Turista,Promo
4/25/2019 21:45,MADRID,BARCELONA,5/14/2019 9:00,5/14/2019 11:45,AVE,85.1,Turista,Promo
4/21/2019 16:18,VALENCIA,MADRID,6/1/2019 12:40,6/1/2019 14:20,AVE,45.3,Turista,Promo
4/14/2019 12:13,SEVILLA,MADRID,5/10/2019 8:45,5/10/2019 11:15,AVE,76.3,Turista,Flexible
4/20/2019 2:41,MADRID,PONFERRADA,4/20/2019 14:40,4/20/2019 18:52,LD,57,Turista con enlace,Flexible
4/23/2019 23:16,SEVILLA,MADRID,5/24/2019 11:45,5/24/2019 14:17,AVE,60.3,Turista,Promo
4/20/2019 5:37,BARCELONA,MADRID,5/29/2019 16:00,5/29/2019 19:10,AVE,80.15,Turista Plus,Promo
4/23/2019 10:31,MADRID,SEVILLA,5/25/2019 20:35,5/25/2019 23:15,AVE,61.45,Preferente,Promo
5/1/2019 3:03,MADRID,VALENCIA,5/3/2019 17:10,5/3/2019 18:54,AVE,73.1,Turista,Flexible
4/21/2019 19:30,MADRID,BARCELONA,5/16/2019 20:00,5/16/2019 22:30,AVE,78.8,Turista,Promo
4/18/2019 21:24,PONFERRADA,MADRID,4/25/2019 11:44,4/25/2019 16:00,MD-LD,54.1,Turista con enlace,Flexible
4/15/2019 14:07,VALENCIA,MADRID,4/17/2019 21:05,4/17/2019 23:32,INTERCITY,55.4,Turista,Flexible
4/22/2019 4:41,BARCELONA,MADRID,5/31/2019 17:25,5/31/2019 19:55,AVE,100.4,Turista,Promo
4/21/2019 14:19,SEVILLA,MADRID,4/27/2019 21:00,4/27/2019 23:52,AV City,49.15,Turista,Promo
4/23/2019 19:10,MADRID,SEVILLA,5/8/2019 15:00,5/8/2019 17:21,AVE,53.4,Turista,Promo
5/5/2019 1:30,MADRID,VALENCIA,5/11/2019 15:40,5/11/2019 17:22,AVE,51.15,Turista,Promo
4/12/2019 21:00,MADRID,VALENCIA,5/30/2019 11:55,5/30/2019 13:35,AVE,,Turista,Promo
4/13/2019 19:22,MADRID,VALENCIA,5/8/2019 9:10,5/8/2019 10:58,AVE,51.15,Turista,Promo
4/20/2019 17:23,MADRID,SEVILLA,4/23/2019 21:25,4/24/2019 0:10,AV City,43.55,Turista,Promo
5/3/2019 19:35,VALENCIA,MADRID,5/8/2019 15:10,5/8/2019 17:03,AVE,66.55,Preferente,Promo
4/20/2019 1:42,PONFERRADA,MADRID,4/30/2019 2:36,4/30/2019 9:31,TRENHOTEL,45.8,Turista,Flexible
4/16/2019 18:15,BARCELONA,MADRID,5/13/2019 20:00,5/13/2019 23:10,AVE,66.75,Turista,Promo
4/16/2019 23:44,PONFERRADA,MADRID,5/9/2019 13:44,5/9/2019 19:21,LD,47,Turista con enlace,Flexible
4/28/2019 19:43,MADRID,VALENCIA,5/21/2019 7:40,5/21/2019 9:20,AVE,57.75,Turista,Promo
4/14/2019 8:21,MADRID,SEVILLA,4/16/2019 13:00,4/16/2019 15:40,AVE,69.4,Preferente,Promo
5/6/2019 7:24,VALENCIA,MADRID,5/29/2019 20:15,5/29/2019 21:55,AVE,21.95,Turista,Promo
4/27/2019 3:05,VALENCIA,MADRID,6/24/2019 14:50,6/24/2019 22:30,REGIONAL,28.35,Turista,Adulto ida
4/16/2019 12:26,VALENCIA,MADRID,4/16/2019 20:15,4/16/2019 21:55,AVE,57.75,Turista,Promo
4/23/2019 12:10,MADRID,BARCELONA,5/17/2019 15:30,5/17/2019 18:40,AVE,107.7,Turista,Flexible
5/8/2019 5:38,VALENCIA,MADRID,5/12/2019 18:35,5/12/2019 20:21,AVE,66.55,Preferente,Promo
4/18/2019 13:44,MADRID,VALENCIA,5/6/2019 6:45,5/6/2019 8:38,AVE,27.8,Turista,Promo
4/30/2019 5:03,BARCELONA,MADRID,5/2/2019 8:00,5/2/2019 11:10,AVE,85.1,Turista,Promo
4/17/2019 12:13,VALENCIA,MADRID,5/4/2019 10:40,5/4/2019 12:27,AVE,43.75,Preferente,Promo
4/25/2019 21:13,BARCELONA,MADRID,5/10/2019 13:25,5/10/2019 16:10,AVE,75.4,Turista,Promo
4/19/2019 9:04,BARCELONA,MADRID,5/27/2019 12:50,5/27/2019 15:45,AVE-TGV,58.15,Turista,Promo
4/16/2019 8:17,MADRID,VALENCIA,5/7/2019 7:40,5/7/2019 9:20,AVE,73.1,Turista,Flexible
4/18/2019 6:06,SEVILLA,MADRID,5/19/2019 18:45,5/19/2019 21:17,AVE,76.3,Turista,Flexible
4/26/2019 5:04,MADRID,SEVILLA,5/13/2019 8:00,5/13/2019 10:32,AVE,76.3,Turista,Flexible
4/19/2019 2:04,BARCELONA,MADRID,6/5/2019 9:03,6/5/2019 18:07,R. EXPRES,43.25,Turista,Adulto ida
5/4/2019 9:09,MADRID,VALENCIA,5/26/2019 11:55,5/26/2019 13:35,AVE,66.55,Preferente,Promo
4/18/2019 13:27,SEVILLA,MADRID,4/26/2019 20:15,4/26/2019 22:36,AVE,53.4,Turista,Promo
4/28/2019 23:18,MADRID,BARCELONA,5/24/2019 8:30,5/24/2019 11:15,AVE,85.08,Turista,Promo
5/1/2019 7:33,MADRID,SEVILLA,5/24/2019 9:45,5/24/2019 12:27,INTERCITY,,Preferente,Promo
4/22/2019 12:10,BARCELONA,MADRID,4/23/2019 13:25,4/23/2019 16:10,AVE,75.4,Turista,Promo
4/13/2019 8:28,MADRID,VALENCIA,4/16/2019 9:40,4/16/2019 11:24,AVE,,Turista,Promo
5/8/2019 23:15,SEVILLA,MADRID,7/3/2019 12:40,7/3/2019 15:23,AVE,22.9,Turista,Promo
4/29/2019 15:04,BARCELONA,MADRID,5/16/2019 14:00,5/16/2019 17:10,AVE,58.15,Turista,Promo
4/23/2019 18:07,MADRID,VALENCIA,5/6/2019 15:40,5/6/2019 17:22,AVE,33.65,Turista,Promo
5/6/2019 19:38,VALENCIA,MADRID,5/25/2019 9:40,5/25/2019 11:20,AVE,51.15,Turista,Promo
4/24/2019 4:04,MADRID,SEVILLA,5/21/2019 9:00,5/21/2019 11:38,AVE,69.4,Preferente,Promo
4/28/2019 1:19,BARCELONA,MADRID,5/17/2019 19:00,5/17/2019 22:00,AVE,102.15,Turista Plus,Promo
4/21/2019 3:42,VALENCIA,MADRID,5/13/2019 7:40,5/13/2019 9:20,AVE,51.15,Turista,Promo
5/2/2019 7:19,BARCELONA,MADRID,5/17/2019 6:05,5/17/2019 9:15,AVE,80.15,Turista Plus,Promo
4/21/2019 17:22,SEVILLA,MADRID,4/23/2019 16:45,4/23/2019 19:17,AVE,76.3,Turista,Flexible
4/16/2019 17:16,MADRID,SEVILLA,5/29/2019 8:00,5/29/2019 10:32,AVE,69.4,Preferente,Promo
4/23/2019 20:34,PONFERRADA,MADRID,4/30/2019 2:36,4/30/2019 9:31,TRENHOTEL,45.8,Turista,Flexible
4/22/2019 13:03,MADRID,SEVILLA,4/24/2019 15:00,4/24/2019 17:21,AVE,60.3,Turista,Promo
4/14/2019 18:06,BARCELONA,MADRID,5/2/2019 12:50,5/2/2019 15:45,AVE-TGV,107.7,Turista,Flexible
5/3/2019 19:15,MADRID,BARCELONA,5/17/2019 13:25,5/17/2019 16:24,AVE-TGV,90.5,Turista Plus,Promo
4/21/2019 22:00,MADRID,BARCELONA,5/1/2019 11:30,5/1/2019 14:40,AVE,107.7,Turista,Flexible
4/23/2019 2:12,SEVILLA,MADRID,4/28/2019 19:19,4/28/2019 21:59,INTERCITY,62.2,Turista,Flexible
4/30/2019 13:32,VALENCIA,MADRID,5/30/2019 14:10,5/30/2019 15:48,AVE,45.3,Turista,Promo
5/2/2019 11:28,PONFERRADA,MADRID,5/31/2019 17:55,5/31/2019 22:55,MD-LD,35.15,Turista con enlace,Promo +
4/23/2019 5:31,SEVILLA,MADRID,5/22/2019 12:18,5/22/2019 14:56,ALVIA,,Turista,Promo
4/30/2019 15:45,MADRID,SEVILLA,5/17/2019 8:00,5/17/2019 10:32,AVE,76.3,Turista,Flexible
5/9/2019 7:17,VALENCIA,MADRID,5/18/2019 19:15,5/18/2019 21:01,AVE,33.65,Turista,Promo
5/1/2019 17:15,SEVILLA,MADRID,5/20/2019 9:40,5/20/2019 12:23,AVE,69.4,Preferente,Promo
4/21/2019 10:09,MADRID,SEVILLA,5/5/2019 11:05,5/5/2019 13:41,ALVIA,,Turista,Flexible
5/7/2019 21:05,MADRID,SEVILLA,5/23/2019 8:30,5/23/2019 11:14,ALVIA,,Turista,Promo
4/15/2019 16:18,BARCELONA,MADRID,5/21/2019 21:15,5/22/2019 0:02,AVE,49.55,Turista,Promo
4/20/2019 2:29,PONFERRADA,MADRID,5/7/2019 6:11,5/7/2019 10:15,ALVIA,33.5,Turista,Promo
4/18/2019 9:11,BARCELONA,MADRID,5/26/2019 13:25,5/26/2019 16:10,AVE,66.75,Turista,Promo
4/21/2019 7:39,SEVILLA,MADRID,5/31/2019 16:15,5/31/2019 18:54,AVE,47.3,Turista,Promo
4/20/2019 21:33,MADRID,SEVILLA,5/20/2019 10:00,5/20/2019 12:32,AVE,60.3,Turista,Promo
4/16/2019 14:04,BARCELONA,MADRID,4/18/2019 9:00,4/18/2019 11:45,AVE,143.4,Preferente,Promo
4/11/2019 22:28,MADRID,VALENCIA,4/22/2019 14:10,4/22/2019 16:03,AVE,66.55,Preferente,Promo
4/15/2019 5:36,BARCELONA,MADRID,5/29/2019 15:25,5/29/2019 17:55,AVE,78.8,Turista,Promo
4/15/2019 18:03,MADRID,SEVILLA,4/30/2019 13:00,4/30/2019 15:40,AVE,53.4,Turista,Promo
4/23/2019 17:28,MADRID,SEVILLA,5/2/2019 13:10,5/2/2019 20:51,MD-LD,34.35,Turista con enlace,Promo +
4/16/2019 18:44,MADRID,SEVILLA,4/23/2019 11:00,4/23/2019 13:32,AVE,69.4,Preferente,Promo
4/16/2019 18:45,MADRID,SEVILLA,5/5/2019 17:00,5/5/2019 19:38,AVE,60.3,Turista,Promo
5/9/2019 19:34,MADRID,SEVILLA,5/30/2019 19:30,5/30/2019 22:05,AVE,76.3,Turista,Flexible
4/21/2019 8:23,BARCELONA,MADRID,5/10/2019 8:25,5/10/2019 10:55,AVE,100.4,Turista,Promo
5/7/2019 5:19,VALENCIA,MADRID,5/30/2019 17:30,5/30/2019 23:58,MD-LD,28.1,Turista con enlace,Promo +
4/12/2019 18:31,MADRID,SEVILLA,5/7/2019 16:00,5/7/2019 18:30,AVE,,Preferente,Promo
4/16/2019 0:04,VALENCIA,MADRID,5/2/2019 6:20,5/2/2019 10:36,INTERCITY,25.75,Turista Plus,Promo
5/1/2019 11:37,MADRID,VALENCIA,5/29/2019 15:30,5/29/2019 22:31,AVE-MD,,Turista,Promo
4/13/2019 11:21,MADRID,VALENCIA,5/30/2019 16:05,5/30/2019 22:47,REGIONAL,,Turista,Adulto ida
5/5/2019 5:46,MADRID,BARCELONA,5/5/2019 11:30,5/5/2019 14:40,AVE,107.7,Turista,Flexible
4/28/2019 23:27,BARCELONA,MADRID,5/9/2019 12:50,5/9/2019 15:45,AVE-TGV,85.1,Turista,Promo
4/18/2019 21:40,SEVILLA,MADRID,4/19/2019 18:45,4/19/2019 21:17,AVE,76.3,Turista,Flexible
5/3/2019 15:42,MADRID,SEVILLA,5/28/2019 16:00,5/28/2019 18:30,AVE,69.4,Preferente,Promo
4/21/2019 23:40,BARCELONA,MADRID,4/28/2019 7:05,4/28/2019 9:50,AVE,69.8,Turista Plus,Promo
4/13/2019 20:03,MADRID,BARCELONA,5/22/2019 13:25,5/22/2019 16:24,AVE-TGV,40.95,Turista,Promo
4/17/2019 11:42,MADRID,PONFERRADA,5/21/2019 17:30,5/21/2019 21:33,ALVIA,33.5,Turista,Promo
4/22/2019 0:06,BARCELONA,MADRID,5/2/2019 18:00,5/2/2019 21:10,AVE,107.7,Turista,Flexible
4/18/2019 4:39,SEVILLA,MADRID,5/7/2019 9:50,5/7/2019 12:36,ALVIA,,Turista,Flexible
4/23/2019 23:09,BARCELONA,MADRID,5/29/2019 6:25,5/29/2019 8:55,AVE,58.45,Turista,Promo
4/20/2019 14:45,MADRID,VALENCIA,5/6/2019 14:10,5/6/2019 16:03,AVE,33.65,Turista,Promo
5/9/2019 17:36,BARCELONA,MADRID,6/19/2019 16:25,6/19/2019 18:55,AVE,100.4,Turista,Promo
4/18/2019 14:06,MADRID,PONFERRADA,5/14/2019 17:30,5/14/2019 21:33,ALVIA,33.5,Turista,Promo
4/20/2019 17:01,MADRID,BARCELONA,5/29/2019 15:30,5/29/2019 18:40,AVE,90.5,Turista Plus,Promo
4/17/2019 6:43,MADRID,BARCELONA,5/19/2019 20:00,5/19/2019 22:30,AVE,100.4,Turista,Promo
4/18/2019 19:25,MADRID,VALENCIA,5/29/2019 16:05,5/29/2019 22:47,REGIONAL,28.35,Turista,Adulto ida
4/26/2019 19:34,MADRID,VALENCIA,5/6/2019 15:30,5/6/2019 22:31,AVE-MD,71,Turista con enlace,Flexible
4/14/2019 18:03,MADRID,SEVILLA,5/1/2019 21:25,5/2/2019 0:10,AV City,49.15,Turista,Promo
4/12/2019 15:16,MADRID,SEVILLA,5/20/2019 11:05,5/20/2019 13:41,ALVIA,,Turista,Promo
4/17/2019 23:23,MADRID,VALENCIA,5/26/2019 11:10,5/26/2019 13:25,INTERCITY,29.9,Turista,Promo
5/6/2019 17:16,SEVILLA,MADRID,5/22/2019 13:40,5/22/2019 16:10,AVE,47.3,Turista,Promo
5/3/2019 21:29,SEVILLA,MADRID,5/6/2019 7:15,5/6/2019 9:55,AVE,76.3,Turista,Flexible
4/23/2019 15:25,MADRID,SEVILLA,5/31/2019 16:00,5/31/2019 18:30,AVE,79.65,Preferente,Promo
5/8/2019 9:06,MADRID,BARCELONA,6/16/2019 10:30,6/16/2019 13:15,AVE,85.1,Turista,Promo
5/5/2019 21:00,MADRID,SEVILLA,5/10/2019 8:00,5/10/2019 10:32,AVE,76.3,Turista,Flexible
4/22/2019 23:40,MADRID,SEVILLA,5/29/2019 11:00,5/29/2019 13:32,AVE,53.4,Turista,Promo
4/13/2019 4:02,MADRID,BARCELONA,4/15/2019 6:10,4/15/2019 8:40,AVE,,Turista Plus,Promo
4/19/2019 11:37,MADRID,SEVILLA,4/23/2019 15:00,4/23/2019 17:21,AVE,69.4,Preferente,Promo
4/17/2019 10:26,VALENCIA,MADRID,4/26/2019 14:10,4/26/2019 15:48,AVE,51.15,Turista,Promo
5/7/2019 17:31,BARCELONA,MADRID,5/21/2019 13:25,5/21/2019 16:10,AVE,107.7,Turista,Flexible
4/12/2019 6:09,MADRID,SEVILLA,5/16/2019 8:00,5/16/2019 10:32,AVE,76.3,Turista,Flexible
4/19/2019 18:31,BARCELONA,MADRID,4/24/2019 12:50,4/24/2019 15:45,AVE-TGV,102.15,Turista Plus,Promo
4/23/2019 8:11,MADRID,PONFERRADA,5/6/2019 14:40,5/6/2019 18:33,AVE-MD,38.75,Turista con enlace,Promo +
4/27/2019 21:38,MADRID,SEVILLA,5/23/2019 15:00,5/23/2019 17:21,AVE,76.3,Turista,Flexible
4/21/2019 2:41,MADRID,VALENCIA,5/6/2019 17:48,5/6/2019 21:58,INTERCITY,20.6,Turista Plus,Promo
5/9/2019 3:36,BARCELONA,MADRID,5/20/2019 10:00,5/20/2019 13:10,AVE,107.7,Turista,Flexible
5/4/2019 19:45,MADRID,BARCELONA,5/20/2019 6:10,5/20/2019 8:40,AVE,98,Preferente,Promo
5/1/2019 7:15,SEVILLA,MADRID,5/14/2019 7:40,5/14/2019 10:05,AVE,76.3,Turista,Flexible
4/19/2019 5:27,VALENCIA,MADRID,5/8/2019 20:15,5/8/2019 21:55,AVE,33.65,Turista,Promo
4/19/2019 10:15,VALENCIA,MADRID,5/21/2019 10:40,5/21/2019 12:32,AVE,21.95,Turista,Promo
4/28/2019 3:15,SEVILLA,MADRID,5/18/2019 10:45,5/18/2019 13:17,AVE,60.3,Turista,Promo
4/21/2019 6:54,MADRID,PONFERRADA,4/27/2019 14:40,4/27/2019 18:33,LD-MD,54.1,Turista con enlace,Flexible
4/18/2019 2:05,MADRID,BARCELONA,5/3/2019 19:00,5/3/2019 21:30,AVE,88.95,Turista,Promo
5/8/2019 7:13,MADRID,BARCELONA,7/2/2019 7:00,7/2/2019 9:30,AVE,94.55,Turista Plus,Promo
4/16/2019 8:21,MADRID,SEVILLA,5/7/2019 13:10,5/7/2019 20:51,MD-LD,,Turista,Promo
4/30/2019 7:24,VALENCIA,MADRID,5/3/2019 20:15,5/3/2019 21:55,AVE,46.8,Preferente,Promo
4/14/2019 18:13,MADRID,SEVILLA,5/31/2019 19:00,5/31/2019 21:38,AVE,69.4,Preferente,Promo
4/15/2019 19:09,MADRID,BARCELONA,5/20/2019 14:30,5/20/2019 17:21,AVE,85.1,Turista,Promo
4/14/2019 21:15,SEVILLA,MADRID,4/19/2019 19:19,4/19/2019 21:59,INTERCITY,62.2,Turista,Flexible
4/18/2019 7:23,MADRID,BARCELONA,4/22/2019 9:30,4/22/2019 12:34,AVE,129.3,Turista Plus,Flexible
5/4/2019 12:00,MADRID,VALENCIA,7/2/2019 16:05,7/2/2019 22:47,REGIONAL,28.35,Turista,Adulto ida
5/2/2019 5:07,BARCELONA,MADRID,5/7/2019 7:25,5/7/2019 10:01,AVE,66.75,Turista,Promo
4/15/2019 4:21,BARCELONA,MADRID,5/18/2019 18:00,5/18/2019 21:10,AVE,66.75,Turista,Promo
5/5/2019 3:41,MADRID,BARCELONA,5/16/2019 19:30,5/16/2019 22:40,AVE,75.4,Turista,Promo
4/29/2019 13:40,MADRID,PONFERRADA,4/30/2019 12:20,4/30/2019 18:52,LD-MD,34.35,Turista con enlace,Promo +
4/20/2019 17:38,VALENCIA,MADRID,5/1/2019 15:10,5/1/2019 17:03,AVE,45.3,Turista,Promo
4/16/2019 17:02,BARCELONA,MADRID,5/31/2019 9:03,5/31/2019 18:07,R. EXPRES,43.25,Turista,Adulto ida
4/18/2019 16:36,MADRID,VALENCIA,4/27/2019 11:10,4/27/2019 13:25,INTERCITY,55.4,Turista,Flexible
4/15/2019 23:00,BARCELONA,MADRID,4/17/2019 18:25,4/17/2019 20:55,AVE,115.65,Preferente,Promo
4/28/2019 13:34,VALENCIA,MADRID,5/14/2019 14:50,5/14/2019 22:30,REGIONAL,28.35,Turista,Adulto ida
4/16/2019 12:06,MADRID,SEVILLA,4/20/2019 14:00,4/20/2019 16:32,AVE,60.3,Turista,Promo
5/4/2019 5:20,MADRID,VALENCIA,5/4/2019 8:00,5/4/2019 14:10,REGIONAL,28.35,Turista,Adulto ida
5/2/2019 9:44,MADRID,BARCELONA,5/30/2019 16:00,5/30/2019 18:30,AVE,88.95,Turista,Promo
4/13/2019 6:17,MADRID,SEVILLA,5/31/2019 10:00,5/31/2019 12:32,AVE,,Preferente,Promo
4/25/2019 19:09,MADRID,BARCELONA,5/27/2019 19:00,5/27/2019 21:30,AVE,94.55,Turista Plus,Promo
4/14/2019 12:20,VALENCIA,MADRID,5/11/2019 20:15,5/11/2019 21:55,AVE,27.8,Turista,Promo
4/27/2019 23:27,MADRID,SEVILLA,5/14/2019 13:00,5/14/2019 15:40,AVE,47.3,Turista,Promo
4/24/2019 3:30,SEVILLA,MADRID,4/29/2019 12:40,4/29/2019 15:23,AVE,53.4,Turista,Promo
4/20/2019 10:42,MADRID,VALENCIA,5/29/2019 11:10,5/29/2019 13:25,INTERCITY,29.9,Turista,Promo
4/17/2019 16:19,MADRID,BARCELONA,4/19/2019 8:30,4/19/2019 11:15,AVE,85.08,Turista,Promo
4/15/2019 1:03,BARCELONA,MADRID,5/13/2019 8:00,5/13/2019 11:10,AVE,85.1,Turista,Promo
5/8/2019 9:26,VALENCIA,MADRID,5/25/2019 10:40,5/25/2019 12:27,AVE,57.75,Turista,Promo
4/27/2019 1:23,SEVILLA,MADRID,5/27/2019 11:45,5/27/2019 14:17,AVE,59.1,Preferente,Promo
4/28/2019 3:04,MADRID,BARCELONA,4/30/2019 18:30,4/30/2019 21:20,AVE,107.7,Turista,Flexible
5/9/2019 13:36,MADRID,VALENCIA,5/11/2019 11:10,5/11/2019 13:25,INTERCITY,55.4,Turista,Flexible
4/11/2019 22:30,MADRID,VALENCIA,5/29/2019 16:45,5/29/2019 18:50,ALVIA,46.15,Preferente,Promo
4/20/2019 3:00,VALENCIA,MADRID,4/28/2019 9:50,4/28/2019 16:58,REGIONAL,28.35,Turista,Adulto ida
4/21/2019 4:14,MADRID,PONFERRADA,5/24/2019 14:40,5/24/2019 18:33,AVE-MD,59.6,Turista con enlace,Flexible
4/16/2019 10:05,BARCELONA,MADRID,4/23/2019 20:00,4/23/2019 23:10,AVE,66.75,Turista,Promo
